"label","subdistrict_id"
"Alalak, Kabupaten Barito Kuala, Kalimantan Selatan","624"
"Alama, Kabupaten Nduga, Papua","4279"
"Alang-Alang Lebar, Kota Palembang, Sumatera Selatan","4609"
"Alapan (Alafan), Kabupaten Simeulue, Nanggroe Aceh Darussalam (NAD)","5724"
"Alas Barat, Kabupaten Sumbawa, Nusa Tenggara Barat (NTB)","6034"
"Alas, Kabupaten Sumbawa, Nusa Tenggara Barat (NTB)","6033"
"Alasa Talumuzoi, Kabupaten Nias Utara, Sumatera Utara","4413"
"Alasa, Kabupaten Nias Utara, Sumatera Utara","4412"
"Alemsom, Kabupaten Pegunungan Bintang, Papua","4858"
"Alian/Aliyan, Kabupaten Kebumen, Jawa Tengah","2472"
"Alla, Kabupaten Enrekang, Sulawesi Selatan","1671"
"Alok Barat, Kabupaten Sikka, Nusa Tenggara Timur (NTT)","5673"
"Alok Timur, Kabupaten Sikka, Nusa Tenggara Timur (NTT)","5674"
"Alok, Kabupaten Sikka, Nusa Tenggara Timur (NTT)","5672"
"Alor Barat Daya, Kabupaten Alor, Nusa Tenggara Timur (NTT)","192"
"Alor Barat Laut, Kabupaten Alor, Nusa Tenggara Timur (NTT)","193"
"Alor Selatan, Kabupaten Alor, Nusa Tenggara Timur (NTT)","194"
"Alor Tengah Utara, Kabupaten Alor, Nusa Tenggara Timur (NTT)","195"
"Alor Timur Laut, Kabupaten Alor, Nusa Tenggara Timur (NTT)","197"
"Alor Timur, Kabupaten Alor, Nusa Tenggara Timur (NTT)","196"
"Alu (Allu), Kabupaten Polewali Mandar, Sulawesi Barat","5055"
"Aluh-Aluh, Kabupaten Banjar, Kalimantan Selatan","476"
"Amabi Oefeto Timur, Kabupaten Kupang, Nusa Tenggara Timur (NTT)","2975"
"Amabi Oefeto, Kabupaten Kupang, Nusa Tenggara Timur (NTT)","2974"
"Amahai, Kabupaten Maluku Tengah, Maluku","3671"
"Amalatu, Kabupaten Seram Bagian Barat, Maluku","5514"
"Amali, Kabupaten Bone, Sulawesi Selatan","1173"
"Amanatun Selatan, Kabupaten Timor Tengah Selatan, Nusa Tenggara Timur (NTT)","6596"
"Amanatun Utara, Kabupaten Timor Tengah Selatan, Nusa Tenggara Timur (NTT)","6597"
"Amandraya, Kabupaten Nias Selatan, Sumatera Utara","4380"
"Amanuban Barat, Kabupaten Timor Tengah Selatan, Nusa Tenggara Timur (NTT)","6598"
"Amanuban Selatan, Kabupaten Timor Tengah Selatan, Nusa Tenggara Timur (NTT)","6599"
"Amanuban Tengah, Kabupaten Timor Tengah Selatan, Nusa Tenggara Timur (NTT)","6600"
"Amanuban Timur, Kabupaten Timor Tengah Selatan, Nusa Tenggara Timur (NTT)","6601"
"Amarasi Barat, Kabupaten Kupang, Nusa Tenggara Timur (NTT)","2977"
"Amarasi Selatan, Kabupaten Kupang, Nusa Tenggara Timur (NTT)","2978"
"Amarasi Timur, Kabupaten Kupang, Nusa Tenggara Timur (NTT)","2979"
"Amarasi, Kabupaten Kupang, Nusa Tenggara Timur (NTT)","2976"
"Ambal, Kabupaten Kebumen, Jawa Tengah","2473"
"Ambalau, Kabupaten Buru Selatan, Maluku","1346"
"Ambalau, Kabupaten Sintang, Kalimantan Barat","5748"
"Ambalawi, Kabupaten Bima, Nusa Tenggara Barat (NTB)","911"
"Ambarawa, Kabupaten Pringsewu, Lampung","5133"
"Ambarawa, Kabupaten Semarang, Jawa Tengah","5479"
